,date,favorites,hashtags,id,mentions,permalink,retweets,text,username
55,2014/06/02,0,#5995 #ikidyounot #iknowhim #himtoo #somethingdrastic #everypoopinthemiddleoftraffic #one,"4,73493E+17",,https://twitter.com/mybigoliveoil/status/473492648263573504,0,suppose something drastic would happen,mybigoliveoil
57,2014/06/14,0,#toughday #himtoo,"4,7793E+17",,https://twitter.com/Lunget/status/477929637595869184,0,pictwittercomxc7kMZIsP4,Lunget
58,2014/06/15,0,#SantaMonica #almostmexitan #himtoo #happydays,"4,77968E+17",,https://twitter.com/santanasandra_d/status/477968359795879936,0,Sun time happy time http instagramcomppPotTZSW2t,santanasandra_d
59,2014/06/17,0,#HimToo,"4,78928E+17",,https://twitter.com/Dayilovesyouux3/status/478927659372924928,0,Oh lord needed,Dayilovesyouux3
60,2014/06/19,1,#greatgf #propstome #himtoo,"4,79518E+17",,https://twitter.com/nicole_briana23/status/479518154486345728,0,Um thanks great room decor skills Jakes room point,nicole_briana23
61,2014/06/20,0,#himtoo,"4,79947E+17",@kennychesney,https://twitter.com/ElenaaM_/status/479947361217970176,0,Already love new song,ElenaaM_
62,2014/06/23,0,#yesplease #illtakehim #himtoo,"4,8089E+17",,https://twitter.com/katehald/status/480889540903989249,0,Watching true blood making ca sexy men want come home,katehald
63,2014/06/28,0,#HimToo,"4,82774E+17",@Watts_boyeeee @Dot_Moe @LeeAndrewJoness,https://twitter.com/Dot_Moe/status/482774093955993601,0,Lmaoooooo Bitch thats remind Watts last weekend,Dot_Moe
64,2014/06/28,0,#HimToo,"4,82774E+17",@LeeAndrewJoness,https://twitter.com/Dot_Moe/status/482773534330990592,0,thats remind Watts last weekend,Dot_Moe
65,2014/07/03,1,#himtoo,"4,84688E+17",@katdamianoxo,https://twitter.com/megfrendo/status/484687909493039104,0,Lmaooo remember guy spit dip faces second booth one time window,megfrendo
66,2014/07/10,0,#breakingrules #himtoo #copenhagen #kobenhavn,"4,8729E+17",@,https://twitter.com/EvetSanchez/status/487289582837174273,0,Laughing dont know time … http instagramcompqR3gtkvzoN,EvetSanchez
67,2014/07/16,1,#SleepIsOnMyMind #HimToo,"4,89252E+17",,https://twitter.com/Loomer829/status/489252466580389888,0,Im already Lazy,Loomer829
68,2014/07/17,0,#Custom #JaMMen #set #Celeb #SonsOfSolomon #MotorcycleClub #WearableArt #HimToo #SOS,"4,8981E+17",,https://twitter.com/MileevaDesigns/status/489809507489288195,0,whos member http fbme1nFdG7EKl,MileevaDesigns
69,2014/07/21,0,#himtoo,"4,91108E+17",,https://twitter.com/JerBearM/status/491108112158318592,0,never go looking fight But one finds sure hell finish fight life Bobby,JerBearM
70,2014/07/21,0,#datfacedoe #mcm #himtoo #mymainman #mydude #malakai,"4,91313E+17",,https://twitter.com/jazzyfizzle1089/status/491313426451296256,0,Cant leave main man mix http instagramcompqudVfKgYz,jazzyfizzle1089
71,2014/07/26,1,#lolz #himtoo #sillyboys,"4,93108E+17",,https://twitter.com/amberparisi4/status/493107699828015104,0,kinda miss boyfriends friends,amberparisi4
73,2014/08/10,0,#iquitlife #himtoo #thiskid,"4,98512E+17",,https://twitter.com/miranda_joy96/status/498511986888826880,0,We refuse paicipate real life today dunksfordays http instagramcomprhm3opR20,miranda_joy96
74,2014/08/12,0,#sillyface #allwhiteeverything #smile #latinos #mesingle #himtoo #nyc #queens,"4,99048E+17",,https://twitter.com/Qnz_Boi718/status/499047862571782144,0,Chilling bro … http instagramcomprlajsQLMtC,Qnz_Boi718
75,2014/08/13,0,#leoseason #himtoo,"4,99639E+17",,https://twitter.com/RedgiWoods/status/499638600116338689,0,Someone ready bihday tomorrow http instagramcomprpnMZftGmT,RedgiWoods
76,2014/08/14,0,#WildnOut #HimToo,"4,99771E+17",,https://twitter.com/iammiingli_/status/499771417097826305,0,Lol woahhhh Dang Kim http instagramcomprqjl52o9a,iammiingli_
78,2014/08/17,1,#himtoo,"5,00774E+17",@Jordo5280,https://twitter.com/_greensick/status/500773806064300032,0,So told Jamba Juice delivers What bullshit Im moving back,_greensick
79,2014/08/26,0,#himtoo #juzticeforall #saveourboyd,"5,0419E+17",,https://twitter.com/MissPrissyE/status/504189922652086272,0,9yearold executed Wheres outrage http fwtogKfzorW,MissPrissyE
80,2014/09/02,0,#himtoo,"5,06868E+17",@otherworldlyx,https://twitter.com/FFMagicMan/status/506868017608003585,0,draft Dwayne Bowe WR,FFMagicMan
81,2014/09/10,0,#Whysheleft #Triedtobehappy #onemonthfree #foundherinmissouririver #himtoo #onemonthlater #stayorleave #2008,"5,09519E+17",,https://twitter.com/velvettuberose/status/509519398772547584,0,sister needed,velvettuberose
82,2014/09/11,0,#GetHimOUTTAHERE #RomneyIsNixon #HimToo,"5,09826E+17",@MotherJones,https://twitter.com/CynicalVision50/status/509825590162374656,0,PhRMA PROPEY mention sponsors suicidepact America®,CynicalVision50
