username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;;;;;
DanaBFrench;19/09/2018 22:55;0;0;Breaking: #HimToo at the NYRB https://www. powerlineblog.com/archives/2018/ 09/breaking-himtoo-at-the-nyrb.php?utm_source=twitter&utm_medium=sw&utm_campaign=sw … via @powerlineUS;;@powerlineUS;#HimToo;1,04252E+18;https://twitter.com/DanaBFrench/status/1042517674650202117;;;;;
RealJimPeterson;19/09/2018 22:43;0;1;The leader of the #HimToo movement Jerry Brown is like a clogged toilet. #WakeUpCalifornia #FecesOccurs #FecesForBrains;;;#HimToo #WakeUpCalifornia #FecesOccurs #FecesForBrains;1,04251E+18;https://twitter.com/RealJimPeterson/status/1042514439050850306;;;;;
Bookwormroom;19/09/2018 22:24;1;1;This news squiblet highlights that, for the Left, due process is irrelevant. Once accused of harming women, forever guilty, no matter the due process outcome. Breaking: #HimToo at the NYRB https://www. powerlineblog.com/archives/2018/ 09/breaking-himtoo-at-the-nyrb.php?utm_source=twitter&utm_medium=sw&utm_campaign=sw … via @powerlineUS;;@powerlineUS;#HimToo;1,04251E+18;https://twitter.com/Bookwormroom/status/1042509840910770176;;;;;
AlanTonelson;19/09/2018 22:24;0;0;#HimToo ? https://www. theatlantic.com/entertainment/ archive/2018/09/mike-bloomberg-comments-women-metoo/570448/ … #Bloomberg #election2020 #politics #MeToo @MikeBloomberg;;@MikeBloomberg;#HimToo #Bloomberg #election2020 #politics #MeToo;1,04251E+18;https://twitter.com/AlanTonelson/status/1042509677257535489;;;;;
filterednews;19/09/2018 22:18;0;0;Breaking: #HimToo at the NYRB | Power Line http:// bit.ly/2MGTxq9;;;#HimToo;1,04251E+18;https://twitter.com/filterednews/status/1042508181518385152;;;;;
facetious_wench;19/09/2018 21:42;0;1;#HimToo https://www. theguardian.com/artanddesign/2 018/sep/18/secret-unearthed-sailor-17th-century-journal-edward-barlow-national-maritime-museum …;;;#HimToo;1,0425E+18;https://twitter.com/facetious_wench/status/1042499298603216897;;;;;
deenie7940;19/09/2018 21:18;0;0;Breaking: #HimToo at the NYRB https://www. powerlineblog.com/archives/2018/ 09/breaking-himtoo-at-the-nyrb.php?utm_source=twitter&utm_medium=sw&utm_campaign=sw … via @powerlineUS;;@powerlineUS;#HimToo;1,04249E+18;https://twitter.com/deenie7940/status/1042493153251651584;;;;;
bradmoreso;19/09/2018 21:18;0;0;"Brett Kavanaugh will probably become a Supreme Court justice, anyway. Yes, #HimToo ."" 'People who didn’t want Ford’s accusation to be true came for Ford’s credibility like they’ve always come for the credibility of other accusers of other men."" https://www. thedailybeast.com/christine-blas ey-ford-shows-accusers-are-still-under-attack-despite-metoo …""";;;#HimToo;1,04249E+18;https://twitter.com/bradmoreso/status/1042493024834531328;;;;;
desertjohn2;19/09/2018 20:41;0;3;Gary Busey in drag. #himtoo WP #WalkAway pic.twitter.com/U5wKd2zwkb;;;#himtoo #WalkAway;1,04248E+18;https://twitter.com/desertjohn2/status/1042483778315202560;;;;;
scoluns;19/09/2018 20:36;0;0;Reminds me of the time some gal accused me of propositioning her for $400. I had never seen this woman before in my life. Of course this came up as I had a different view than her politically. If you think people dont use accusations as a weapon you are ignorant. #HimToo;;;#HimToo;1,04248E+18;https://twitter.com/scoluns/status/1042482655542104064;;;;;
AdamForTrump;19/09/2018 20:19;0;0;#Himtoo;;;#Himtoo;1,04248E+18;https://twitter.com/AdamForTrump/status/1042478180576112640;;;;;
KBoatn;19/09/2018 20:13;1;1;Please Retweet! This is a travesty she must step down NOW. #HimToo https:// twitter.com/w_terrence/sta tus/1042298525571330048 …;;;#HimToo;1,04248E+18;https://twitter.com/KBoatn/status/1042476769658503170;;;;;
rnavarro2003;19/09/2018 19:56;0;0;Shame in you @RepMaxineWaters ! I demand the @FBI investigate immediately! Terrance deserves to be believed. #himtoo meet #metoo https:// twitter.com/w_terrence/sta tus/1042298525571330048 …;;@RepMaxineWaters @FBI;#himtoo #metoo;1,04247E+18;https://twitter.com/rnavarro2003/status/1042472464389992449;;;;;
DesertoftheRl;19/09/2018 19:02;0;0;#himtoo;;;#himtoo;1,04246E+18;https://twitter.com/DesertoftheRl/status/1042458799037210625;;;;;
